Company Name,City,Website,Email,Phone,Number of Ratings,Average Rating,Owner Name,Owner Contact
Francis Home Environment Heating and Air Conditioning,Ottawa,https://www.francishome.ca,,613-723-4700,8078,4.9,,
AirZone HVAC Services Inc.,Ottawa,https://www.airzonehvac.ca,info@airzonehvac.ca,613-592-5770,1126,4.9,,
Ottawa Home Services,Ottawa,https://www.ottawahomeservices.ca/,,613-604-4777,1102,4.9,,
Francis Plumbing Heating & Cooling,Nepean,https://francisplumbing.com/,,613-224-0041,750,4.9,,
Advanced HVAC Inc.,Barrhaven,https://advancedhvac.ca/,info@advancedhvac.ca,613-833-9963,700,4.8,Dave and Martin,
ATEL Air Heating & Air Conditioning,Manotick,https://atelair.ca/,,613-535-2720,673,4.9,,
Oria Heating and Cooling,Ottawa,https://oriaheatingandcooling.com/,info@oriaheatingandcooling.com,613-866-1869,522,5.0,Mansoor Nasir,
"Climate Works Heating, Cooling & Plumbing",Richmond,https://climateworks.ca,info@climateworks.ca,(613) 838-9989,500,4.9,,
Apple HVAC,Ottawa,https://applehvac.ca/,,613-315-7325,195,5.0,,
Dion Comfort Heating & Cooling,Ottawa,https://dioncomfort.com,info@dioncomfort.com,613-301-1333,165,5.0,Frank Dion,
E.N. Blue Heating & Air Conditioning,Carp,https://www.enblue.com,,613-831-1430,136,4.9,,
Gas Man Ottawa Inc.,Barrhaven,https://www.gasmanottawa.com/,,613-880-3888,126,4.8,Jeff,
Simply Heating & Air Conditioning,Ottawa,https://simplyheating.ca/,,613-880-6416,118,4.8,,
Ambassador Dearie HVAC Inc.,Ottawa,https://ambassadorhvac.com,,(613) 741-9595,114,4.5,,
Chauffage et Climatisation Lalonde,Gatineau,https://www.chauffageclimatisationgatineau.com,info@chauffagelalonde.com,(819) 643-1995,91,3.8,,
SAF Combustion,Gatineau,https://www.safcombustion.com,saf@safcombustion.com,(819) 598-0254,72,4.8,,
Caron Heating & Cooling Inc.,Orléans,https://caronheating-cooling.com,patrick@caronheating-cooling.com,613-298-7356,56,5.0,Patrick Caron,patrick@caronheating-cooling.com
MR Heating & Cooling (MR Home Comfort),Ottawa,https://mrheatingandcooling.ca,info@mrheatingandcooling.ca,613-695-1231,55,5.0,Maroun Nasr and Ryan Pratt,
Gillani Heating & Appliance Care Inc.,Gloucester,https://www.gillaniheating.com,,613-883-7860,20,4.4,Iqbal Gillani,
Clement Chauffage Inc.,Rockland,https://clementchauffage.com,eric.chauffage.clement@gmail.com,613-446-8886,19,4.2,,
APEX CVAC,Gatineau,https://www.apexcvac.com,,(613) 777-5787,,,,
Belanger Heating and Air Conditioning,Barrhaven,https://donjbelanger.com/,don@belangerheating.com,613-821-4570,,,Don Belanger,don@belangerheating.com
Capital City Heating and Cooling,Stittsville,https://capitalcityheatingandcooling.com,,613-274-0220,,,,
Comfort Tech Ottawa,Ottawa,https://comforttechottawa.com,,613-897-8324,,,,
Confort Expert Inc.,Gatineau,https://www.confortexpert.com,,1-877-926-2560,,,,
CONFORTEK,L'Ange-Gardien,https://confortek.ca,confortek@outlook.com,(819) 414-2063,,,,
D & G Climatisation Chauffage,Gatineau,https://chauffage-climatisation-gatineau.com,hvacservice@1cleanair.ca,(819) 303-8671,,,,
Fernand Denis,St-Isidore,https://www.fernanddenis.com,,1-877-768-8848,,,,
First Call Heating & Cooling,Ottawa,https://firstcallheatcool.com/,info@firstcallheatcool.com,613-793-5044,,,,
Francis Fuels,Nepean,https://www.francisfuels.com,info@francisfuels.ca,(613) 723-4567,,,,
Green Star HVAC,Ottawa,https://greenstarhvac.ca,,613-261-1223,,,,
Harry's Home Comfort,Ottawa,https://harryshome.ca,contact@harryshome.ca,1-855-523-4835,,,,
J.D. Swallow Heating & Cooling Contractors,Nepean,https://www.jdswallow.com/,info@jdswallow.com,613-822-7974,,4.9,,
"M&C Heating, Cooling & Plumbing",Ottawa,https://www.mchvacplumbing.com,office@mchvacplumbing.com,613-619-5877,,,,
Manotick Heating & Cooling,Manotick,https://www.manotickheating.ca/,,613-692-9977,,,,
MJK Heating & Cooling,Stittsville,https://www.mjkheatingcooling.com,info@mjkheatingcooling.com,613-282-9309,,,,
Murray Heating and Cooling Inc.,Carp,https://murrayhvac.ca,,613-831-0542,,,,
P & P HVAC,Cumberland,https://www.pnphvac.ca,info@pnphvac.ca,613-606-9798,,,Samuel Poirier,
Parent Heating and Cooling,Ottawa,https://parentheatingandcooling.com,,613-739-4515,,,,
ServicePlus Heating and Cooling,Kanata,https://serviceplusheatingcooling.ca,info@serviceplusheatingcooling.ca,613-801-4804,,,,
Services S.P – Chauffage et Climatisation,Gatineau,https://sspgatineau.com,info@sspgatineau.com,(819) 592-4444,,,,
Stan's Heating and Air Conditioning,Ottawa,https://www.stanshvac.ca/,,613-237-4040,,,Lyle Sugrue,
Superior HVAC Service,Barrhaven,https://superiorhvacservice.ca/,info@superiorhvacservice.ca,343-321-2064,,,,
TheJupital,Ottawa,https://thejupital.com,,613-204-6364,,,,
Thermo-Maître,Gatineau,https://www.thermo-maitre.com,,(819) 669-9675,,,,
True North Mechanical,Carp,https://truenorthottawa.com,info@truenorthottawa.com,613-404-3563,,,,
WeatherFix HVAC,Ottawa,https://weatherfix.ca,service@weatherfix.ca,613-720-4567,,,,
